actor;vjou;vopi;vtot
FI001;2;2;4
FI008;7;1;8
FI018;15;6;21
FI020;15;2;17
FI022;3;2;5
FI023;13;3;16
FI026;1;1;2
FI027;28;3;31
FI037;6;2;8
FI038;4;2;6
FI048;2;1;3
FI056;1;1;2
FI065;12;3;15
FI067;6;1;7
FI070;9;4;13
FI072;4;1;5
FI077;2;1;3
FI080;3;2;5
FI090;13;1;14
FI091;33;2;35
FI095;6;1;7
FI096;19;2;21
FI126;3;1;4
FI137;13;4;17
FI021;9;0;9
FI003;2;0;2
FI004;2;0;2
FI025;1;0;1
FI010;1;0;1
FI012;1;0;1
FI013;1;0;1
FI014;3;0;3
FI015;1;0;1
FI016;5;0;5
FI017;2;0;2
FI071;1;0;1
FI041;1;0;1
FI074;2;0;2
FI050;1;0;1
FI053;10;0;10
FI078;4;0;4
FI058;7;0;7
FI061;17;0;17
FI029;3;0;3
FI032;1;0;1
FI033;11;0;11
FI035;1;0;1
FI088;1;0;1
FI136;1;0;1
FI064;2;0;2
FI093;3;0;3
FI075;1;0;1
FI062;3;0;3
FI081;3;0;3
FI079;5;0;5
FI127;2;0;2
FI133;6;0;6
FI142;1;0;1
FI086;1;0;1
FI087;4;0;4
FI094;1;0;1
FI082;1;0;1
FI141;1;0;1
FI131;1;0;1
FI128;1;0;1
FI130;1;0;1
FI129;2;0;2
FI134;0;1;1
FI052;0;1;1
FI085;0;1;1
